日期,身份別,多方交易口數,多方交易契約金額(百萬元),空方交易口數,空方交易契約金額(百萬元),多空交易口數淨額,多空交易契約金額淨額(百萬元),多方未平倉口數,多方未平倉契約金額(百萬元),空方未平倉口數,空方未平倉契約金額(百萬元),多空未平倉口數淨額,多空未平倉契約金額淨額(百萬元)
2020/9/15,外資及陸資,339263,274335,338659,275727,604,-1392,227719,205967,237938,147304,-10219,58663
2020/9/16,自營商,425217,90417,394211,88701,31006,1716,144060,72582,149921,32913,-5861,39669
2020/9/16,投信,1743,4328,537,1354,1206,2974,10348,20134,45647,111185,-35299,-91051
2020/9/16,外資及陸資,400419,254807,397721,239629,2698,15178,122943,170200,136109,102177,-13166,68023
2020/9/17,自營商,201311,41668,228733,34801,-27422,6867,168566,78552,201818,32347,-33252,46205
2020/9/17,投信,927,2374,1886,2054,-959,320,11265,22337,47523,112437,-36258,-90100
2020/9/17,外資及陸資,227893,210365,255567,243552,-27674,-33187,123726,157885,164566,123346,-40840,34539
2020/9/18,自營商,166285,32087,166246,31498,39,589,184736,80620,217899,33771,-33163,46849
2020/9/18,投信,400,1026,403,1034,-3,-8,11209,22229,47470,112454,-36261,-90225
2020/9/18,外資及陸資,245152,210574,255215,217237,-10063,-6663,129275,159461,180178,131507,-50903,27954
2020/9/21,自營商,280747,50492,291628,45738,-10881,4754,195668,85390,239585,34432,-43917,50958
2020/9/21,投信,311,789,1747,4426,-1436,-3637,11362,22316,49059,114955,-37697,-92639
2020/9/21,外資及陸資,313904,257589,342120,283957,-28216,-26368,134174,154612,202235,153082,-68061,1530
2020/9/22,自營商,396794,55596,399727,52438,-2933,3158,219782,87728,266503,34223,-46721,53505
2020/9/22,投信,275,684,2234,5146,-1959,-4462,11586,22608,51242,118612,-39656,-96004
2020/9/22,外資及陸資,442196,309173,459988,314508,-17792,-5335,137779,154878,221262,158690,-83483,-3812
2020/9/23,自營商,448769,43626,451859,48169,-3090,-4543,175680,84525,180915,35308,-5235,49217
2020/9/23,投信,705,490,1997,1726,-1292,-1236,11757,23075,52705,120457,-40948,-97382
2020/9/23,外資及陸資,362878,243766,366269,235941,-3391,7825,129243,149528,202435,145570,-73192,3958
2020/9/24,自營商,316210,52649,328939,51011,-12729,1638,196179,86120,214285,36593,-18106,49527
2020/9/24,投信,716,1447,2728,6215,-2012,-4768,12060,23182,55020,122632,-42960,-99450
2020/9/24,外資及陸資,359937,331420,365691,329007,-5754,2413,133448,144881,212439,138435,-78991,6446
2020/9/25,自營商,277873,42478,281135,45152,-3262,-2674,213027,84072,234397,37132,-21370,46940
2020/9/25,投信,608,265,1239,223,-631,42,12108,23330,55699,122869,-43591,-99539
2020/9/25,外資及陸資,423111,338311,395471,313286,27640,25025,148790,153215,200141,121580,-51351,31635
2020/9/28,自營商,260511,32687,244054,33791,16457,-1104,232073,85508,236985,38787,-4912,46721
2020/9/28,投信,2566,6371,44,107,2522,6264,12461,24620,53530,119690,-41069,-95070
2020/9/28,外資及陸資,274686,202852,269271,205510,5415,-2658,161218,158653,203830,129250,-42612,29403
2020/9/29,自營商,301884,32192,297260,34963,4624,-2771,252357,87395,252699,43407,-342,43988
2020/9/29,投信,410,1007,12,30,398,977,12486,24681,53157,118820,-40671,-94139
2020/9/29,外資及陸資,308546,204868,308384,197759,162,7109,165123,163516,207573,127018,-42450,36498
2020/9/30,自營商,388757,38064,366221,42227,22536,-4163,206637,79900,190390,39721,16247,40179
2020/9/30,投信,792,1951,13,7,779,1944,12505,24829,52397,117425,-39892,-92596
2020/9/30,外資及陸資,340561,217442,327158,201429,13403,16013,158395,174404,194153,121844,-35758,52560
2020/10/5,自營商,225901,31288,234914,28710,-9013,2578,228996,83729,221626,40834,7370,42895
2020/10/5,投信,52,130,13,33,39,97,12506,24940,52359,117846,-39853,-92906
2020/10/5,外資及陸資,237660,193237,246910,204845,-9250,-11608,156765,167974,201758,126751,-44993,41223
2020/10/6,自營商,319390,41808,304320,42519,15070,-711,256726,86332,234293,43699,22433,42633
2020/10/6,投信,1215,3079,0,0,1215,3079,12580,25420,51218,116346,-38638,-90926
2020/10/6,外資及陸資,253477,183866,247956,182016,5521,1850,169001,178100,208464,134414,-39463,43686
